UF,Municipios,IDH,PIB per capita,Produto Interno Bruto Anual (R$ 1.000),GINI
BA,Feira da Mata,"0,588",8022.35 ,45470.67,"0,5467"
BA,Feira de Santana,"0,712",24074.06 ,14683079.87,"0,6079"
BA,Filadelfia,"0,565",7291.65 ,119655.91,"0,5438"
BA,Firmino Alves,"0,578",8586.85 ,48120.7,"0,4375"
BA,Floresta Azul,"0,557",7384.34 ,78909.07,"0,4667"
BA,Formosa do Rio Preto,"0,618",106481.34 ,2695149.18,"0,6136"
BA,Gandu,"0,632",11199.11 ,360633.72,"0,5989"
BA,Gaviao,"0,599",8654.90 ,38834.54,"0,4110"
BA,Gentio do Ouro,"0,559",13219.03 ,148132.5,"0,5250"
BA,Gloria,"0,593",11236.96 ,170891.71,"0,5254"
BA,Gongogi,"0,576",8058.70 ,58635.1,"0,4781"
BA,Governador Mangabeira,"0,643",8678.35 ,179459.69,"0,5445"
BA,Guajeru,"0,569",7252.03 ,52497.44,"0,4602"
BA,Guanambi,"0,673",15961.44 ,1340984.35,"0,5581"
BA,Guaratinga,"0,558",9374.74 ,196785.13,"0,5385"
BA,Heliopolis,"0,563",7337.22 ,95941.44,"0,5081"
BA,Iacu,"0,574",8247.06 ,202019.99,"0,6282"
BA,Ibiassuce,"0,611",8707.34 ,82084.08,"0,4687"
BA,Ibicarai,"0,625",8295.70 ,182621.44,"0,5483"
BA,Ibicoara,"0,591",15724.83 ,304212.54,"0,4907"
BA,Ibicui,"0,584",9030.79 ,145955.67,"0,5103"
BA,Ibipeba,"0,616",7404.56 ,134000.37,"0,5700"
BA,Ibipitanga,"0,584",6786.76 ,100824.1,"0,5761"
BA,Ibiquera,"0,511",6851.18 ,27699.31,"0,6049"
BA,Ibirapitanga,"0,558",8427.53 ,196723.85,"0,5296"
BA,Ibirapua,"0,614",32641.24 ,280094.45,"0,5130"
BA,Ibirataia,"0,576",10624.97 ,167449.56,"0,4989"
BA,Ibitiara,"0,585",6081.83 ,98963.6,"0,5540"
BA,Ibitita,"0,602",6949.28 ,119180.11,"0,5081"
BA,Ibotirama,"0,636",12401.78 ,332938.29,"0,5581"
BA,Ichu,"0,631",6963.23 ,43130.23,"0,4725"
BA,Igapora,"0,614",11445.70 ,178896.36,"0,4966"
BA,Igrapiuna,"0,574",11067.21 ,147935.4,"0,5481"
BA,Iguai,"0,552",7177.34 ,192840.64,"0,5641"
BA,Ilheus,"0,690",25829.06 ,4257764.94,"0,5875"
BA,Inhambupe,"0,565",16152.27 ,637998.69,"0,5370"
BA,Ipecaeta,"0,550",5475.96 ,80085.97,"0,5312"
BA,Ipiau,"0,670",9913.51 ,454266.78,"0,6996"
BA,Ipira,"0,549",11085.75 ,662517.69,"0,5294"
BA,Ipupiara,"0,590",8138.75 ,79898.13,"0,5052"
BA,Irajuba,"0,576",9719.84 ,70400.82,"0,5236"
BA,Iramaia,"0,571",8200.69 ,72928.72,"0,5048"
BA,Iraquara,"0,599",16169.78 ,403306.56,"0,6175"
BA,Irara,"0,620",8742.97 ,252602,"0,4993"
BA,Irece,"0,691",16746.40 ,1212205.01,"0,5995"
BA,Itabela,"0,599",11561.02 ,351605.25,"0,5681"
BA,Itaberaba,"0,620",14009.43 ,901156.62,"0,5905"
BA,Itabuna,"0,712",19184.77 ,4081367.41,"0,5745"
BA,Itacare,"0,583",11003.98 ,306912.09,"0,5545"
BA,Itaete,"0,572",5898.19 ,94365.12,"0,5490"
BA,Itagi,"0,543",8090.05 ,100818.22,"0,4783"
BA,Itagiba,"0,589",9279.05 ,136513.38,"0,4955"
BA,Itagimirim,"0,634",16147.89 ,111646.53,"0,5277"
BA,Itaguacu da Bahia,"0,562",8431.96 ,120669.76,"0,5369"
BA,Itaju do Colonia,"0,592",9796.14 ,66319.86,"0,4825"
